Source,Target,Weight
toptal,help,1
help,make,1
help,assess,1
help,compani,1
help,achiev,1
make,real,1
real,differ,1
differ,commun,1
commun,hire,1
hire,econom,1
econom,develop,1
econom,freelanc,1
develop,consult,1
develop,creat,1
develop,strong,1
consult,expert,1
consult,l.p.,1
consult,laura,1
expert,help,1
expert,wit,1
expert,success,1
assess,market,1
market,develop,1
creat,job,1
creat,implement,1
job,boost,1
boost,incom,1
incom,growth,1
growth,no-risk,1
growth,laura,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
brand,startup,1
brand,strategi,1
brand,change-manag,1
brand,equiti,1
startup,watch,1
startup,well,1
startup,previous,1
startup,act,1
watch,case,18
case,studi,18
studi,watch,17
studi,carol,1
carol,advis,1
carol,built,1
advis,sale,1
sale,global,1
sale,profit,1
global,multi-billion,1
global,across,1
global,experi,1
global,jgm,1
global,longacr,1
multi-billion,dollar,1
dollar,energi,1
energi,compani,1
energi,entiti,1
compani,serv,1
compani,grow,1
compani,financi,1
compani,pre-se,1
compani,one,1
serv,sub-seg,1
sub-seg,controller/cfo,1
controller/cfo,siemen,1
siemen,help,1
grow,acquisit,1
acquisit,fundrais,1
fundrais,strateg,1
strateg,advisori,1
strateg,plan,1
advisori,carol,1
built,sophist,1
sophist,financi,1
financi,model,2
financi,team,1
model,high-tech,1
model,manag,1
high-tech,startup,1
well,larg,1
larg,corpor,1
corpor,infrastructur,1
infrastructur,project,1
project,freelanc,1
project,base,1
freelanc,allow,2
freelanc,provid,1
allow,broaden,1
allow,engag,1
broaden,industri,1
industri,focu,1
industri,work,1
focu,work,1
work,driven,1
work,extens,1
work,prove,1
driven,ceo,1
ceo,previous,1
previous,cenak,1
previous,firmu,1
previous,world,1
previous,jgm,1
previous,link,1
cenak,consult,1
l.p.,jose,1
jose,directli,1
jose,act,1
directli,execut,1
directli,increas,1
execut,valuat,1
execut,global,1
execut,known,1
valuat,worth,1
worth,10,1
10,billion,1
billion,found,1
found,firmus—a,1
firmus—a,firm,1
firm,offer,1
offer,advic,1
advic,financ,1
financ,econom,1
provid,client,1
client,robust,1
client,project,1
robust,thorough,1
thorough,analys,1
analys,help,1
achiev,optim,1
optim,decis,1
decis,addit,1
addit,work,1
extens,public,1
public,compani,1
manag,jose,1
manag,two,1
manag,kurt,1
act,intern,1
act,global,1
intern,expert,1
intern,recogn,1
intern,fund,1
wit,commerci,1
commerci,disput,1
disput,outsourc,1
outsourc,cfo,1
cfo,startup,1
firmu,consult,1
laura,intern,1
laura,enjoy,1
recogn,brand,1
strategi,expert,1
strategi,organ,1
strategi,one,1
success,implement,1
success,kurt,1
implement,brand,1
implement,strateg,1
change-manag,strategi,1
organ,rang,1
rang,fortun,1
fortun,50,1
50,compani,1
pre-se,startup,1
across,multipl,1
across,hf,1
across,capit,1
multipl,industri,1
multipl,languag,1
prove,directli,1
increas,brand,1
equiti,momentum,1
momentum,acceler,1
acceler,growth,1
enjoy,freelanc,1
engag,divers,1
divers,client,1
base,previous,1
world,organis,1
organis,anim,1
anim,health,1
health,peter,1
peter,invest,1
peter,head,1
invest,execut,1
invest,across,1
invest,previous,1
experi,across,1
hf,pe,1
hf,invest,1
pe,famili,1
famili,offic,1
offic,includ,1
includ,apollo,1
includ,innov,1
apollo,global,1
jgm,capit,2
capit,eo,1
capit,structur,1
capit,manag,1
eo,global,1
longacr,cdv,1
cdv,launch,1
launch,manag,1
two,hf,1
structur,includ,1
innov,us,1
us,fund,1
fund,hybrid,1
fund,peter,1
hybrid,strategi,1
one,brazil,1
one,latam,1
brazil,’,1
’,first,1
’,largest,1
first,intern,1
head,financi,1
team,grew,1
team,accomplish,1
grew,portfolio,1
portfolio,compani,1
latam,’,1
largest,renew,1
renew,energi,1
entiti,multi-billion-dollar,1
multi-billion-dollar,invest,1
kurt,award-win,1
kurt,'s,1
award-win,execut,1
known,exceed,1
exceed,expect,1
exceed,sale,1
expect,deliv,1
deliv,time,1
time,ahead,1
ahead,schedul,1
schedul,budget,1
budget,exceed,1
profit,goal,1
goal,inspir,1
inspir,team,1
accomplish,develop,1
strong,relationship,1
relationship,background,1
background,multipl,1
languag,mental,1
mental,faculti,1
faculti,see,1
see,piec,1
piec,need,1
need,go,1
go,togeth,1
togeth,success,1
's,abil,1
abil,creat,1
plan,except,1
except,result,1
result,set,1
set,apart,1
apart,previous,1
link,observatori,1
observatori,space,1
space,scienc,1
scienc,institut,1
